id,type,level,item_name,prompt
125,Beverages,8,Fruit Smoothie Glass,"fruit smoothie glass, isometric 3d, stylized hand-painted game art, vibrant colors, soft ambient lighting, subtle glossy finish, soft highlights, soft painterly edges, no dark outlines, no text, no watermark, no face, single isolated object"
126,Beverages,9,Chocolate Milkshake,"chocolate milkshake, isometric 3d, stylized hand-painted game art, vibrant colors, soft ambient lighting, subtle glossy finish, soft highlights, soft painterly edges, no dark outlines, no text, no watermark, no face, single isolated object"
127,Beverages,10,Tropical Cocktail Glass,"tropical cocktail glass, isometric 3d, stylized hand-painted game art, vibrant colors, soft ambient lighting, subtle glossy finish, soft highlights, soft painterly edges, no dark outlines, no text, no watermark, no face, single isolated object"
128,Beverages,11,Bottle of Fine Wine,"bottle of red wine, isometric 3d, stylized hand-painted game art, vibrant colors, soft ambient lighting, subtle glossy finish, soft highlights, soft painterly edges, no dark outlines, no text, no watermark, no face, single isolated object"
129,Beverages,12,Champagne Tower,"champagne tower, isometric 3d, stylized hand-painted game art, vibrant colors, soft ambient lighting, subtle glossy finish, soft highlights, soft painterly edges, no dark outlines, no text, no watermark, no face, single isolated object"
130,Beverages,13,Royal Cocktail Fountain,"cocktail fountain, isometric 3d, stylized hand-painted game art, vibrant colors, soft ambient lighting, subtle glossy finish, soft highlights, soft painterly edges, no dark outlines, no text, no watermark, no face, single isolated object"
131,Desserts,1,Glass Candy Jar,"glass candy jar, isometric 3d, stylized hand-painted game art, vibrant colors, soft ambient lighting, subtle glossy finish, soft highlights, soft painterly edges, no dark outlines, no text, no watermark, no face, single isolated object"
132,Desserts,2,Gummy Bear,"red gummy bear candy, isometric 3d, stylized hand-painted game art, vibrant colors, soft ambient lighting, subtle glossy finish, soft highlights, soft painterly edges, no dark outlines, no text, no watermark, no face, single isolated object"
133,Desserts,3,Colorful Lollipop,"colorful lollipop, isometric 3d, stylized hand-painted game art, vibrant colors, soft ambient lighting, subtle glossy finish, soft highlights, soft painterly edges, no dark outlines, no text, no watermark, no face, single isolated object"
134,Desserts,4,Chocolate Bar,"chocolate bar, isometric 3d, stylized hand-painted game art, vibrant colors, soft ambient lighting, subtle glossy finish, soft highlights, soft painterly edges, no dark outlines, no text, no watermark, no face, single isolated object"
135,Desserts,5,Sweet Macaron,"pink macaron, isometric 3d, stylized hand-painted game art, vibrant colors, soft ambient lighting, subtle glossy finish, soft highlights, soft painterly edges, no dark outlines, no text, no watermark, no face, single isolated object"
136,Desserts,6,Frosting Cupcake,"frosting cupcake, isometric 3d, stylized hand-painted game art, vibrant colors, soft ambient lighting, subtle glossy finish, soft highlights, soft painterly edges, no dark outlines, no text, no watermark, no face, single isolated object"
137,Desserts,7,Slice of Chocolate Cake,"slice of chocolate cake, isometric 3d, stylized hand-painted game art, vibrant colors, soft ambient lighting, subtle glossy finish, soft highlights, soft painterly edges, no dark outlines, no text, no watermark, no face, single isolated object"
138,Desserts,8,Vanilla Ice Cream Cone,"vanilla ice cream cone, isometric 3d, stylized hand-painted game art, vibrant colors, soft ambient lighting, subtle glossy finish, soft highlights, soft painterly edges, no dark outlines, no text, no watermark, no face, single isolated object"
139,Desserts,9,Banana Split Sundae,"banana split sundae, isometric 3d, stylized hand-painted game art, vibrant colors, soft ambient lighting, subtle glossy finish, soft highlights, soft painterly edges, no dark outlines, no text, no watermark, no face, single isolated object"
140,Desserts,10,Glazed Donut,"glazed donut, isometric 3d, stylized hand-painted game art, vibrant colors, soft ambient lighting, subtle glossy finish, soft highlights, soft painterly edges, no dark outlines, no text, no watermark, no face, single isolated object"
141,Desserts,11,Macaron Tower,"macaron tower, isometric 3d, stylized hand-painted game art, vibrant colors, soft ambient lighting, subtle glossy finish, soft highlights, soft painterly edges, no dark outlines, no text, no watermark, no face, single isolated object"
142,Desserts,12,Grand Dessert Platter,"grand dessert platter, isometric 3d, stylized hand-painted game art, vibrant colors, soft ambient lighting, subtle glossy finish, soft highlights, soft painterly edges, no dark outlines, no text, no watermark, no face, single isolated object"
143,Desserts,13,Giant Chocolate Castle Cake,"giant chocolate castle cake, isometric 3d, stylized hand-painted game art, vibrant colors, soft ambient lighting, subtle glossy finish, soft highlights, soft painterly edges, no dark outlines, no text, no watermark, no face, single isolated object"
144,Pasta,1,Pasta Packet,"dry pasta packet, isometric 3d, stylized hand-painted game art, vibrant colors, soft ambient lighting, subtle glossy finish, soft highlights, soft painterly edges, no dark outlines, no text, no watermark, no face, single isolated object"
145,Pasta,2,Dry Penne Pasta,"dry penne pasta, isometric 3d, stylized hand-painted game art, vibrant colors, soft ambient lighting, subtle glossy finish, soft highlights, soft painterly edges, no dark outlines, no text, no watermark, no face, single isolated object"
146,Pasta,3,Dry Spaghetti Strands,"dry spaghetti strands, isometric 3d, stylized hand-painted game art, vibrant colors, soft ambient lighting, subtle glossy finish, soft highlights, soft painterly edges, no dark outlines, no text, no watermark, no face, single isolated object"
147,Pasta,4,Fresh Pasta Dough,"fresh pasta dough, isometric 3d, stylized hand-painted game art, vibrant colors, soft ambient lighting, subtle glossy finish, soft highlights, soft painterly edges, no dark outlines, no text, no watermark, no face, single isolated object"
148,Pasta,5,Boiling Pasta Pot,"boiling pasta pot, isometric 3d, stylized hand-painted game art, vibrant colors, soft ambient lighting, subtle glossy finish, soft highlights, soft painterly edges, no dark outlines, no text, no watermark, no face, single isolated object"
149,Pasta,6,Butter and Parmesan Pasta,"butter pasta on a plate, isometric 3d, stylized hand-painted game art, vibrant colors, soft ambient lighting, subtle glossy finish, soft highlights, soft painterly edges, no dark outlines, no text, no watermark, no face, single isolated object"
150,Pasta,7,Spaghetti Bolognese,"spaghetti bolognese on a plate, isometric 3d, stylized hand-painted game art, vibrant colors, soft ambient lighting, subtle glossy finish, soft highlights, soft painterly edges, no dark outlines, no text, no watermark, no face, single isolated object"
151,Pasta,8,Fettuccine Alfredo,"fettuccine alfredo on a plate, isometric 3d, stylized hand-painted game art, vibrant colors, soft ambient lighting, subtle glossy finish, soft highlights, soft painterly edges, no dark outlines, no text, no watermark, no face, single isolated object"
152,Pasta,9,Creamy Carbonara,"spaghetti carbonara on a plate, isometric 3d, stylized hand-painted game art, vibrant colors, soft ambient lighting, subtle glossy finish, soft highlights, soft painterly edges, no dark outlines, no text, no watermark, no face, single isolated object"
153,Pasta,10,Seafood Linguine,"seafood linguine on a plate, isometric 3d, stylized hand-painted game art, vibrant colors, soft ambient lighting, subtle glossy finish, soft highlights, soft painterly edges, no dark outlines, no text, no watermark, no face, single isolated object"
154,Pasta,11,Baked Lasagna,"slice of baked lasagna, isometric 3d, stylized hand-painted game art, vibrant colors, soft ambient lighting, subtle glossy finish, soft highlights, soft painterly edges, no dark outlines, no text, no watermark, no face, single isolated object"
155,Pasta,12,Tonkotsu Ramen Bowl,"bowl of ramen, isometric 3d, stylized hand-painted game art, vibrant colors, soft ambient lighting, subtle glossy finish, soft highlights, soft painterly edges, no dark outlines, no text, no watermark, no face, single isolated object"
156,Pasta,13,Royal Lobster Pasta,"lobster pasta on a plate, isometric 3d, stylized hand-painted game art, vibrant colors, soft ambient lighting, subtle glossy finish, soft highlights, soft painterly edges, no dark outlines, no text, no watermark, no face, single isolated object"
157,Soups,1,Soup Pot,"metal soup pot, isometric 3d, stylized hand-painted game art, vibrant colors, soft ambient lighting, subtle glossy finish, soft highlights, soft painterly edges, no dark outlines, no text, no watermark, no face, single isolated object"
158,Soups,2,Chicken Bouillon Cube,"chicken bouillon cube, isometric 3d, stylized hand-painted game art, vibrant colors, soft ambient lighting, subtle glossy finish, soft highlights, soft painterly edges, no dark outlines, no text, no watermark, no face, single isolated object"
159,Soups,3,Vegetable Broth Carton,"broth carton, isometric 3d, stylized hand-painted game art, vibrant colors, soft ambient lighting, subtle glossy finish, soft highlights, soft painterly edges, no dark outlines, no text, no watermark, no face, single isolated object"
160,Soups,4,Simple Tomato Soup,"bowl of tomato soup, isometric 3d, stylized hand-painted game art, vibrant colors, soft ambient lighting, subtle glossy finish, soft highlights, soft painterly edges, no dark outlines, no text, no watermark, no face, single isolated object"
161,Soups,5,Cream of Mushroom Soup,"bowl of cream of mushroom soup, isometric 3d, stylized hand-painted game art, vibrant colors, soft ambient lighting, subtle glossy finish, soft highlights, soft painterly edges, no dark outlines, no text, no watermark, no face, single isolated object"
162,Soups,6,French Onion Soup,"french onion soup in a bowl, isometric 3d, stylized hand-painted game art, vibrant colors, soft ambient lighting, subtle glossy finish, soft highlights, soft painterly edges, no dark outlines, no text, no watermark, no face, single isolated object"
163,Soups,7,Pumpkin Soup with Cream,"bowl of pumpkin soup, isometric 3d, stylized hand-painted game art, vibrant colors, soft ambient lighting, subtle glossy finish, soft highlights, soft painterly edges, no dark outlines, no text, no watermark, no face, single isolated object"
164,Soups,8,Clam Chowder in Bread Bowl,"clam chowder in a bread bowl, isometric 3d, stylized hand-painted game art, vibrant colors, soft ambient lighting, subtle glossy finish, soft highlights, soft painterly edges, no dark outlines, no text, no watermark, no face, single isolated object"
165,Soups,9,Spicy Tom Yum Soup,"tom yum soup in a bowl, isometric 3d, stylized hand-painted game art, vibrant colors, soft ambient lighting, subtle glossy finish, soft highlights, soft painterly edges, no dark outlines, no text, no watermark, no face, single isolated object"
166,Soups,10,Slow-cooked Beef Stew,"beef stew in a bowl, isometric 3d, stylized hand-painted game art, vibrant colors, soft ambient lighting, subtle glossy finish, soft highlights, soft painterly edges, no dark outlines, no text, no watermark, no face, single isolated object"
167,Soups,11,Seafood Bouillabaisse,"seafood stew in a bowl, isometric 3d, stylized hand-painted game art, vibrant colors, soft ambient lighting, subtle glossy finish, soft highlights, soft painterly edges, no dark outlines, no text, no watermark, no face, single isolated object"
168,Soups,12,Gumbo Stew Pot,"gumbo stew in a pot, isometric 3d, stylized hand-painted game art, vibrant colors, soft ambient lighting, subtle glossy finish, soft highlights, soft painterly edges, no dark outlines, no text, no watermark, no face, single isolated object"
169,Soups,13,Imperial Bird's Nest Soup,"bird's nest soup in a bowl, isometric 3d, stylized hand-painted game art, vibrant colors, soft ambient lighting, subtle glossy finish, soft highlights, soft painterly edges, no dark outlines, no text, no watermark, no face, single isolated object"
170,Condiments,1,Spice Rack,"wooden spice rack, isometric 3d, stylized hand-painted game art, vibrant colors, soft ambient lighting, subtle glossy finish, soft highlights, soft painterly edges, no dark outlines, no text, no watermark, no face, single isolated object"
171,Condiments,2,Salt Shaker,"salt shaker, isometric 3d, stylized hand-painted game art, vibrant colors, soft ambient lighting, subtle glossy finish, soft highlights, soft painterly edges, no dark outlines, no text, no watermark, no face, single isolated object"
172,Condiments,3,Pepper Grinder,"pepper grinder, isometric 3d, stylized hand-painted game art, vibrant colors, soft ambient lighting, subtle glossy finish, soft highlights, soft painterly edges, no dark outlines, no text, no watermark, no face, single isolated object"
173,Condiments,4,Fresh Garlic Bulb,"garlic bulb, isometric 3d, stylized hand-painted game art, vibrant colors, soft ambient lighting, subtle glossy finish, soft highlights, soft painterly edges, no dark outlines, no text, no watermark, no face, single isolated object"
174,Condiments,5,Ginger Root,"ginger root, isometric 3d, stylized hand-painted game art, vibrant colors, soft ambient lighting, subtle glossy finish, soft highlights, soft painterly edges, no dark outlines, no text, no watermark, no face, single isolated object"
175,Condiments,6,Fresh Basil Sprig,"basil leaf sprig, isometric 3d, stylized hand-painted game art, vibrant colors, soft ambient lighting, subtle glossy finish, soft highlights, soft painterly edges, no dark outlines, no text, no watermark, no face, single isolated object"
176,Condiments,7,Chili Flakes Jar,"chili flakes jar, isometric 3d, stylized hand-painted game art, vibrant colors, soft ambient lighting, subtle glossy finish, soft highlights, soft painterly edges, no dark outlines, no text, no watermark, no face, single isolated object"
177,Condiments,8,Olive Oil Bottle,"olive oil bottle, isometric 3d, stylized hand-painted game art, vibrant colors, soft ambient lighting, subtle glossy finish, soft highlights, soft painterly edges, no dark outlines, no text, no watermark, no face, single isolated object"
178,Condiments,9,Soy Sauce Bottle,"soy sauce bottle, isometric 3d, stylized hand-painted game art, vibrant colors, soft ambient lighting, subtle glossy finish, soft highlights, soft painterly edges, no dark outlines, no text, no watermark, no face, single isolated object"
179,Condiments,10,Golden Honey Jar,"honey jar, isometric 3d, stylized hand-painted game art, vibrant colors, soft ambient lighting, subtle glossy finish, soft highlights, soft painterly edges, no dark outlines, no text, no watermark, no face, single isolated object"
180,Condiments,11,Maple Syrup Bottle,"maple syrup bottle, isometric 3d, stylized hand-painted game art, vibrant colors, soft ambient lighting, subtle glossy finish, soft highlights, soft painterly edges, no dark outlines, no text, no watermark, no face, single isolated object"
181,Condiments,12,Black Truffle Oil,"truffle oil bottle, isometric 3d, stylized hand-painted game art, vibrant colors, soft ambient lighting, subtle glossy finish, soft highlights, soft painterly edges, no dark outlines, no text, no watermark, no face, single isolated object"
182,Condiments,13,Jar of Saffron Threads,"saffron jar, isometric 3d, stylized hand-painted game art, vibrant colors, soft ambient lighting, subtle glossy finish, soft highlights, soft painterly edges, no dark outlines, no text, no watermark, no face, single isolated object"
183,Tools,1,Tool Drawer,"open utensil drawer, isometric 3d, stylized hand-painted game art, vibrant colors, soft ambient lighting, subtle glossy finish, soft highlights, soft painterly edges, no dark outlines, no text, no watermark, no face, single isolated object"
184,Tools,2,Wooden Spoon,"wooden spoon, isometric 3d, stylized hand-painted game art, vibrant colors, soft ambient lighting, subtle glossy finish, soft highlights, soft painterly edges, no dark outlines, no text, no watermark, no face, single isolated object"
185,Tools,3,Metal Whisk,"metal whisk, isometric 3d, stylized hand-painted game art, vibrant colors, soft ambient lighting, subtle glossy finish, soft highlights, soft painterly edges, no dark outlines, no text, no watermark, no face, single isolated object"
186,Tools,4,Rolling Pin,"wooden rolling pin, isometric 3d, stylized hand-painted game art, vibrant colors, soft ambient lighting, subtle glossy finish, soft highlights, soft painterly edges, no dark outlines, no text, no watermark, no face, single isolated object"
187,Tools,5,Chef's Knife,"kitchen chef's knife, isometric 3d, stylized hand-painted game art, vibrant colors, soft ambient lighting, subtle glossy finish, soft highlights, soft painterly edges, no dark outlines, no text, no watermark, no face, single isolated object"
188,Tools,6,Wooden Cutting Board,"cutting board, isometric 3d, stylized hand-painted game art, vibrant colors, soft ambient lighting, subtle glossy finish, soft highlights, soft painterly edges, no dark outlines, no text, no watermark, no face, single isolated object"
189,Tools,7,Frying Pan,"frying pan, isometric 3d, stylized hand-painted game art, vibrant colors, soft ambient lighting, subtle glossy finish, soft highlights, soft painterly edges, no dark outlines, no text, no watermark, no face, single isolated object"
190,Tools,8,Saucepan,"metal saucepan, isometric 3d, stylized hand-painted game art, vibrant colors, soft ambient lighting, subtle glossy finish, soft highlights, soft painterly edges, no dark outlines, no text, no watermark, no face, single isolated object"
191,Tools,9,Ceramic Mixing Bowl,"ceramic mixing bowl, isometric 3d, stylized hand-painted game art, vibrant colors, soft ambient lighting, subtle glossy finish, soft highlights, soft painterly edges, no dark outlines, no text, no watermark, no face, single isolated object"
192,Tools,10,Electric Blender,"kitchen blender, isometric 3d, stylized hand-painted game art, vibrant colors, soft ambient lighting, subtle glossy finish, soft highlights, soft painterly edges, no dark outlines, no text, no watermark, no face, single isolated object"
193,Tools,11,Stand Mixer,"kitchen stand mixer, isometric 3d, stylized hand-painted game art, vibrant colors, soft ambient lighting, subtle glossy finish, soft highlights, soft painterly edges, no dark outlines, no text, no watermark, no face, single isolated object"
194,Tools,12,Smart Oven,"kitchen oven, isometric 3d, stylized hand-painted game art, vibrant colors, soft ambient lighting, subtle glossy finish, soft highlights, soft painterly edges, no dark outlines, no text, no watermark, no face, single isolated object"
195,Tools,13,Professional Range Stove,"kitchen stove range, isometric 3d, stylized hand-painted game art, vibrant colors, soft ambient lighting, subtle glossy finish, soft highlights, soft painterly edges, no dark outlines, no text, no watermark, no face, single isolated object"
196,Special,1,Sparkle Aura,"magic sparkles, isometric 3d, stylized hand-painted game art, vibrant colors, soft ambient lighting, subtle glossy finish, soft highlights, soft painterly edges, no dark outlines, no text, no watermark, no face, single isolated object"
197,Special,2,Pink Coin,"pink coin, isometric 3d, stylized hand-painted game art, vibrant colors, soft ambient lighting, subtle glossy finish, soft highlights, soft painterly edges, no dark outlines, no text, no watermark, no face, single isolated object"
198,Special,3,Stack of Coins,"stack of pink coins, isometric 3d, stylized hand-painted game art, vibrant colors, soft ambient lighting, subtle glossy finish, soft highlights, soft painterly edges, no dark outlines, no text, no watermark, no face, single isolated object"
199,Special,4,Bag of Coins,"bag of pink coins, isometric 3d, stylized hand-painted game art, vibrant colors, soft ambient lighting, subtle glossy finish, soft highlights, soft painterly edges, no dark outlines, no text, no watermark, no face, single isolated object"
200,Special,5,Small Treasure Chest,"wooden treasure chest, isometric 3d, stylized hand-painted game art, vibrant colors, soft ambient lighting, subtle glossy finish, soft highlights, soft painterly edges, no dark outlines, no text, no watermark, no face, single isolated object"
201,Special,6,Royal Treasure Chest,"royal treasure chest, isometric 3d, stylized hand-painted game art, vibrant colors, soft ambient lighting, subtle glossy finish, soft highlights, soft painterly edges, no dark outlines, no text, no watermark, no face, single isolated object"
202,Special,7,Super Star,"shiny golden star marble, isometric 3d, stylized hand-painted game art, vibrant colors, soft ambient lighting, subtle glossy finish, soft highlights, soft painterly edges, no dark outlines, no text, no watermark, no face, single isolated object"
203,Special,8,Magic Wand,"magic wand, isometric 3d, stylized hand-painted game art, vibrant colors, soft ambient lighting, subtle glossy finish, soft highlights, soft painterly edges, no dark outlines, no text, no watermark, no face, single isolated object"
204,Special,9,Golden Key,"golden key, isometric 3d, stylized hand-painted game art, vibrant colors, soft ambient lighting, subtle glossy finish, soft highlights, soft painterly edges, no dark outlines, no text, no watermark, no face, single isolated object"
205,Special,10,Golden Crown,"golden crown, isometric 3d, stylized hand-painted game art, vibrant colors, soft ambient lighting, subtle glossy finish, soft highlights, soft painterly edges, no dark outlines, no text, no watermark, no face, single isolated object"
